SquareFootage,Bedrooms,Location,Price
1660,2,Suburb,166100000
2094,4,Suburb,209600000
1930,2,Rural,193100000
1895,5,Suburb,189750000
2438,4,Rural,244000000
2969,5,Suburb,297150000
1266,3,Urban,128750000
2038,2,Suburb,203900000
1130,5,Rural,113250000
2282,5,Urban,230450000
2935,3,Urban,295650000
930,2,Rural,93100000
2485,5,Urban,250750000
1569,4,Rural,157100000
2315,5,Suburb,231750000
2015,5,Suburb,201750000
1755,5,Rural,175750000
1984,5,Suburb,198650000
1259,2,Urban,128000000
821,5,Suburb,82350000
1547,3,Suburb,154850000
1274,5,Urban,129650000
1882,4,Urban,190400000
2847,4,Suburb,284900000
1775,5,Suburb,177750000
2606,5,Suburb,260850000
989,3,Rural,99050000
1362,3,Rural,136350000
2699,2,Suburb,270000000
2067,2,Suburb,206800000
2328,4,Urban,235000000
1446,5,Suburb,144850000
2868,5,Suburb,287050000
2097,3,Rural,209850000
1400,3,Rural,140150000
2861,2,Rural,286200000
1041,2,Urban,106200000
2841,4,Suburb,284300000
2163,3,Rural,216450000
2939,5,Urban,296150000
2190,3,Suburb,219150000
2278,3,Suburb,227950000
1575,3,Urban,159650000
834,2,Suburb,83500000
2755,5,Urban,277750000
2385,5,Urban,240750000
1821,2,Rural,182200000
1929,2,Urban,195000000
2300,5,Rural,230250000
1502,4,Suburb,150400000
2379,3,Rural,238050000
961,5,Urban,98350000
1001,2,Rural,100200000
2781,5,Suburb,278350000
1795,3,Rural,179650000
1615,5,Suburb,161750000
1255,2,Urban,127600000
2075,4,Rural,207700000
1816,2,Suburb,181700000
1137,4,Suburb,113900000
1678,3,Rural,167950000
1876,2,Rural,187700000
1591,5,Rural,159350000
1563,2,Rural,156400000
1179,2,Rural,118000000
1292,3,Suburb,129350000
1980,4,Urban,200200000
2862,4,Suburb,286400000
864,5,Rural,86650000
2167,2,Rural,216800000
1952,3,Urban,197350000
2827,4,Rural,282900000
2295,5,Urban,231750000
1962,4,Rural,196400000
2322,5,Suburb,232450000
1191,4,Urban,121300000
2498,5,Suburb,250050000
1218,4,Rural,122000000
1178,4,Suburb,118000000
2596,2,Suburb,259700000
2888,5,Suburb,289050000
2982,5,Urban,300450000
1000,2,Urban,102100000
2663,2,Urban,268400000
1579,4,Suburb,158100000
1302,4,Suburb,130400000
2551,4,Rural,255300000
1604,2,Urban,162500000
2946,4,Rural,294800000
2695,2,Suburb,269600000
2370,4,Urban,239200000
1760,2,Rural,176100000
2285,5,Suburb,228750000
1828,3,Suburb,182950000
1302,4,Suburb,130400000
1197,4,Urban,121900000
1670,2,Urban,169100000
1192,5,Rural,119450000
1006,5,Suburb,100850000
1838,4,Urban,186000000
2681,2,Urban,270200000
2284,2,Suburb,228500000
1663,3,Suburb,166450000
1363,5,Rural,136550000
1820,3,Rural,182150000
895,5,Rural,89750000
2723,4,Urban,274500000
2557,4,Urban,257900000
2478,2,Urban,249900000
1340,2,Urban,136100000
1859,2,Urban,188000000
1983,5,Suburb,198550000
2522,2,Rural,252300000
2619,4,Rural,262100000
2397,3,Rural,239850000
1595,4,Rural,159700000
1851,4,Suburb,185300000
2443,4,Urban,246500000
2163,3,Urban,218450000
2781,4,Urban,280300000
2154,5,Rural,215650000
2463,5,Rural,246550000
2329,3,Suburb,233050000
2838,5,Suburb,284050000
2296,2,Urban,231700000
2208,5,Urban,223050000
2200,4,Urban,222200000
2106,5,Urban,212850000
1772,2,Urban,179300000
2568,2,Urban,258900000
2082,2,Rural,208300000
1509,4,Suburb,151100000
2279,2,Suburb,228000000
2234,4,Rural,223600000
1448,2,Urban,146900000
1117,4,Urban,113900000
2057,4,Urban,207900000
1483,4,Suburb,148500000
1463,5,Suburb,146550000
2798,2,Urban,281900000
2431,4,Urban,245300000
2295,2,Rural,229600000
1936,5,Urban,195850000
2653,3,Rural,265450000
2320,2,Urban,234100000
1363,2,Urban,138400000
2091,5,Urban,211350000
2436,4,Rural,243800000
1498,2,Rural,149900000
2960,3,Rural,296150000
801,5,Suburb,80350000
1441,4,Suburb,144300000
2389,2,Urban,241000000
1654,2,Rural,165500000
2559,5,Rural,256150000
2461,4,Urban,248300000
1953,4,Urban,197500000
1876,5,Urban,189850000
2507,2,Urban,252800000
2495,2,Rural,249600000
2533,4,Suburb,253500000
2239,4,Rural,224100000
1635,3,Suburb,163650000
1002,3,Urban,102350000
922,3,Suburb,92350000
1200,4,Rural,120200000
1566,4,Rural,156800000
1093,4,Rural,109500000
997,2,Rural,99800000
2730,5,Rural,273250000
2991,4,Rural,299300000
1408,2,Urban,142900000
1947,4,Suburb,194900000
986,5,Urban,100850000
2594,4,Suburb,259600000
1459,2,Suburb,146000000
2755,4,Suburb,275700000
2169,4,Rural,217100000
2786,4,Rural,278800000
2334,3,Rural,233550000
946,4,Suburb,94800000
2534,2,Suburb,253500000
2643,2,Suburb,264400000
1288,2,Urban,130900000
2759,4,Rural,276100000
2463,5,Rural,246550000
1440,2,Rural,144100000
2602,3,Urban,262350000
2769,5,Urban,279150000
2998,2,Urban,301900000
2238,4,Suburb,224000000
2434,3,Urban,245550000
1062,2,Suburb,106300000
2587,3,Suburb,258850000
2991,5,Rural,299350000
1423,2,Rural,142400000
1816,4,Urban,183800000
1680,3,Suburb,168150000
2849,2,Suburb,285000000
2127,5,Suburb,212950000
1252,5,Rural,125450000
1983,2,Rural,198400000
2856,5,Rural,285850000
2482,3,Rural,248350000
1954,3,Rural,195550000
1203,3,Rural,120450000
2999,3,Urban,302050000
2901,5,Urban,292350000
2496,2,Urban,251700000
1427,5,Urban,144950000
1386,5,Suburb,138850000
2448,2,Rural,244900000
2243,2,Rural,224400000
2245,4,Urban,226700000
903,3,Suburb,90450000
1053,2,Urban,107400000
2296,5,Rural,229850000
898,3,Urban,91950000
2684,3,Suburb,268550000
2719,5,Rural,272150000
1677,2,Suburb,167800000
1137,3,Urban,115850000
1756,3,Rural,175750000
2504,3,Suburb,250550000
960,3,Suburb,96150000
2403,3,Suburb,240450000
1197,5,Rural,119950000
2100,2,Rural,210100000
1615,2,Urban,163600000
2327,3,Urban,234850000
2719,3,Rural,272050000
2215,3,Suburb,221650000
1958,5,Rural,196050000
2018,5,Rural,202050000
1200,4,Rural,120200000
1439,3,Rural,144050000
1259,4,Urban,128100000
1754,4,Urban,177600000
1269,4,Suburb,127100000
1845,2,Rural,184600000
2493,4,Rural,249500000
2885,3,Urban,290650000
1362,5,Urban,138450000
2599,3,Rural,260050000
2874,5,Urban,289650000
1025,2,Rural,102600000
1597,2,Suburb,159800000
1759,3,Suburb,176050000
2304,2,Suburb,230500000
1252,5,Rural,125450000
1615,2,Urban,163600000
1458,4,Suburb,146000000
1346,4,Rural,134800000
2015,2,Suburb,201600000
816,3,Suburb,81750000
2043,4,Urban,206500000
1869,5,Rural,187150000
2946,3,Urban,296750000
2568,2,Urban,258900000
1860,3,Urban,188150000
1101,3,Suburb,110250000
980,3,Suburb,98150000
1406,3,Suburb,140750000
